,reviews,scores,compound,label
270," they offered roles on the basis of their metal, ranging from a technical engineer to production manager and above","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
272," my plans are getting placement through coding curriculum and after that, i will try for upsc","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
274, a chemical branch or other branch student can study computer science and can make minor and major into them,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
276, and one thing you required a cycle to travel to the classroom as they are far away from the college,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
279, more research-oriented than other iit's,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
280, deep learning,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
282, courses of another branch can be done,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
284," however, 1st and 2nd-year students are also eligible for internships but they don't have much knowledge and experience at this earlier stage","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
286," in my course, the highest package offered is 35 lpa and the average package is 15-20 lpa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
288, i used quora and youtube to learn more about the college,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
291," i put kanpur over kharagpur and madras majorly because of its closeness to delhi, but it did not have much to later on after joining the college as we are attending online classes due to pandemic","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
292,being a first year student i don't have much knowledge about campus placements as of now,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
294, iitk has all the facilities available on the campus itself,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
300, high-quality education and world-class infrastructure are provided with all modern facilities,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
303, all top-class companies are open for chemical engineering and offer various roles in their firms,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
305,almost 85% of the students get placed from me course from iitk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
308, they even teach matlab in extras,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
309, library has both offlin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
311, quality of food available in ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
312, 25% of students got internship in my course,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
